,ID
427,1629515
428,1629799
429,1629825
430,1629795
431,1629561
432,1629801
433,1629803
434,1629549
435,1629793
436,1629829
437,1629805
438,1629543
439,5671049
440,5671593
441,5671589
442,5671065
443,5672883
444,5671725
445,5671693
446,5671055
447,5671595
448,5671697
449,5671159
450,5671095
451,5671695
452,5672901
453,5671221
454,5671103
455,5671703
456,5672891
457,5671147
458,5671605
459,5673173
460,5671173
461,5780041
462,5780089
463,5780355
464,5780045
465,5780039
466,5779375
467,5781263
468,5780083
469,5781405
470,5781469
471,5779411
472,5781453
473,5781723
474,5781131
475,5781273
476,5781793
477,5780091
478,5781441
479,5781353
480,5780087
481,5781407
482,5781293
483,5781477
484,5780035
485,5781431
486,5780033
487,5779389
488,5781247
489,5781415
490,5779415
491,5781435
492,5781481
493,5781277
494,5780037
495,5780031
496,5781245
497,5781141
498,5780361
499,5781365
500,5780055
501,5781255
502,5781287
503,5781439
504,5781951
505,5781721
506,5781283
507,5781465
508,5781181
509,5781267
510,5781265
511,5781945
512,5781717
513,5780363
514,5781275
515,5781391
516,5780023
517,5780359
518,5781279
519,5781363
520,5780049
521,5781429
522,5780043
523,5781251
524,5781355
525,5780051
526,5780071
527,5781443
528,5781213
529,5781719
530,5781325
531,5781467
532,5781787
533,5781157
534,5781253
535,5781389
536,5781933
537,5781315
538,5780063
539,5781959
540,5780053
541,5781725
542,5781323
543,5779427
544,5781261
545,5781713
546,5781463
547,5780085
548,5780073
549,5781485
550,5781327
551,5780029
552,5781791
553,5780079
554,5781301
555,5781399
556,5781231
557,5781417
558,5781745
559,5781383
560,5781303
561,5781317
562,5781425
563,5781197
564,5781341
565,5781227
566,5781715
567,5780101
568,5780075
569,5781423
570,5781451
571,5781457
572,5781311
573,5779401
574,5781479
575,5781241
576,5781373
577,5781271
578,5780057
579,5781821
580,5781957
581,5778967
582,5780065
583,5781103
584,5780067
585,5781117
586,5781735
587,5781769
588,5779391
589,5781771
590,5781755
591,5781269
592,5779397
593,5781105
594,5781845
595,5780047
596,5781345
597,5780027
598,5779407
599,5781455
600,5779395
601,5781151
602,5781211
603,5781101
604,5781837
605,5780025
606,5781851
607,5781747
608,5779409
609,5781757
610,5781199
611,5781299
612,5780415
613,5781699
614,5779387
615,5781781
616,5781145
617,5780077
618,5779429
619,5781939
620,5779379
621,5781109
622,5781763
623,5781339
624,5781169
625,5781927
626,5780097
627,5779371
628,5779365
629,5779405
630,5781149
631,5781773
632,5781133
633,5780081
634,5781343
635,5781097
636,5779377
637,5781121
638,5779699
639,5780409
640,5781187
641,5781737
642,5781397
643,5781111
644,5781401
645,5781381
646,5781377
647,5781249
648,5778951
649,5781741
650,5779417
651,5781207
652,5781445
653,5780095
654,5779421
655,5781095
656,5780411
657,5781139
658,5780391
659,5781785
660,5781297
661,5779423
662,5781387
663,5781487
664,5781783
665,5781185
666,5781779
667,5781225
668,5779381
669,5781471
670,5781955
671,5781351
672,5781489
673,5779385
674,5780061
675,5781801
676,5781831
677,5781807
678,5781449
679,5780069
680,5779425
681,5781357
682,5781803
683,5779369
684,5781177
685,5781239
686,5781179
687,5781739
688,5781849
689,5780099
690,5781483
691,5781123
692,5781833
693,5780059
694,5780093
695,5781853
696,5781795
697,5781767
698,5781775
699,5779393
700,5781175
701,5779413
702,5779383
703,5781115
704,5781817
705,5781829
706,5779419
707,5781799
708,5779373
709,5781855
710,5781765
711,5779403
712,5781847
713,5781205
714,5779399
715,5779363
716,5781129
717,5779367
718,5781195
719,5781777
720,1629813
721,1629551
722,1629535
723,1629529
724,1629811
725,1629547
726,1629509
727,1629513
728,1629521
729,1629797
730,1629527
731,1629525
732,1629533
733,1629809
734,1629523
735,1629537
736,1629807
